raised_date,raised_amount,raised_currency_code,round_code,funding_rounds
09/1993,125000,USD,seed,JAD Tech Consulting
02/1994,13000000,USD,unattributed,Viewpoint Digital
07/1994,400000,USD,unattributed,ActionBase
01/1995,10000000,JPY,unattributed,FKK Corporation
01/1995,2000000,USD,a,GeoCities
03/1995,500000,USD,seed,Advice Company
04/1995,2000000,USD,a,Yahoo!
07/1995,8000000,USD,a,Amazon
11/1995,4800000,USD,b,Yahoo!
01/1996,1600000,USD,a,XO Group
01/1996,8000000,USD,b,GeoCities
06/1996,12500,USD,seed,SpamLion
01/1997,5000000,USD,c,GeoCities
03/1997,41000000,USD,a,Global Crossing
05/1997,2000000,USD,d,Digital Lifeboat
06/1997,6700000,USD,unattributed,eBay
11/1997,3300000,USD,a,iPrint
12/1997,4000000,USD,a,Visual Mining
01/1998,10000000,USD,a,BlueArc
01/1998,25000,EUR,seed,Neofonie
01/1998,5000000,USD,unattributed,Next Jump
01/1998,200000,USD,seed,MindEdge
01/1998,1500000,USD,a,LiveBid
01/1998,100000,USD,seed,On The Net Yet
01/1998,25000000,USD,d,GeoCities
01/1998,700000,GBP,seed,Sift
02/1998,12000000,USD,a,Webs
02/1998,1986990,USD,seed,Priceline
04/1998,3000000,USD,b,XO Group
05/1998,15800000,USD,b,E Ink
07/1998,20000000,USD,a,Priceline
08/1998,100000,USD,angel,Google
10/1998,3000000,USD,a,Zayante
12/1998,55350000,USD,b,Priceline
01/1999,7000000,USD,a,Aperto Networks
01/1999,4000000,USD,seed,Salesforce
01/1999,15000000,USD,unattributed,Next Jump
01/1999,100000,USD,debt_round,MWI
01/1999,200000,USD,angel,Enkia
01/1999,3000000,USD,a,Addashop
01/1999,3072680,USD,seed,IronPlanet
01/1999,2500000,EUR,a,Automsoft
01/1999,150000,USD,a,Zappos
01/1999,3000000,USD,a,Kelkoo
01/1999,300000,USD,a,Answers Corporation
01/1999,5000000,EUR,seed,gate5
01/1999,100000,EUR,seed,INTERACTIVOS
03/1999,2700000,USD,a,Sentillion
03/1999,2700000,USD,a,Sentillion
03/1999,300000,USD,seed,CompleteCar.com
03/1999,25000000,USD,a,Ask.com
03/1999,7500000,USD,b,iPrint
04/1999,1360000,USD,b,Answers Corporation
04/1999,16000000,USD,b,Cooking.com
04/1999,15000000,USD,c,XO Group
05/1999,2000000,USD,a,OpenTable
05/1999,1500000,USD,b,Zayante
06/1999,6000000,USD,a,Tellme
06/1999,25000000,USD,a,Google
06/1999,250000,USD,angel,VivaSmart
07/1999,4000000,USD,b,PayPal
07/1999,3000000,USD,unattributed,PayPal
07/1999,2000000,USD,a,WideOrbit
07/1999,500000,EUR,seed,404 Found!
07/1999,30000000,USD,private_equity,Netflix
08/1999,1600000,EUR,a,MTM Laboratories
08/1999,80000000,USD,unattributed,BIGWORDS.com
08/1999,26000000,USD,debt_round,Direct Hit
09/1999,200000,USD,a,ACTIVE Network
09/1999,33200000,USD,b,Ancestry
09/1999,2750000,USD,c,Answers Corporation
10/1999,1400000,USD,a,GCT Semiconductor
10/1999,400000,USD,seed,SquareTrade
10/1999,30000000,USD,c,Cooking.com
10/1999,20000000,USD,c,iPrint
10/1999,2500000,GBP,a,Sift
10/1999,60000000,USD,a,Affinity.com
11/1999,7000000,USD,a,Adomo
11/1999,7500000,USD,a,Snapfish
11/1999,21000000,USD,a,Opsware
12/1999,17000000,USD,a,Salesforce
12/1999,12000000,USD,b,Trivnet
12/1999,3000000,USD,debt_round,ACTIVE Network
12/1999,15500000,USD,b,ACTIVE Network
12/1999,500000,USD,seed,Gaiacom Wireless Networks
12/1999,2200000,USD,a,SideStep
01/2000,7000000,USD,seed,"Gomez, Inc. "
01/2000,28000000,USD,b,BlueArc
01/2000,3000000,USD,a,OZON.ru
01/2000,250000,GBP,angel,Brightblue
01/2000,650000,USD,seed,Sidustar International
01/2000,2000000,USD,seed,marshad technology group
01/2000,300000,USD,seed,SquareTrade
01/2000,44000000,USD,unattributed,Anystream
01/2000,14439000,USD,a,ArcSight
01/2000,10968800,USD,a,IronPlanet
01/2000,5049990,USD,a,Wintegra
01/2000,10000000,USD,b,OpenTable
01/2000,1300000,USD,seed,Verimatrix
01/2000,37000000,USD,b,E Ink
01/2000,15000000,USD,seed,ChoiceStream
01/2000,45000000,USD,debt_round,Opsware
01/2000,1350000,EUR,seed,NEXTA Media
01/2000,5000000,EUR,a,Jobpartners
01/2000,2000000,USD,angel,IS Decisions
01/2000,6500000,USD,a,eTapestry
01/2000,1000000,USD,a,Movile
01/2000,5000000,USD,seed,MarketBridge
01/2000,15000000,USD,c,Lockstream
02/2000,28500000,USD,a,"Gomez, Inc. "
02/2000,2050000,USD,a,Enkia
02/2000,12000000,USD,a,Elance
02/2000,22500000,USD,unattributed,Responsys
02/2000,2000000,USD,a,Navic Networks
02/2000,35000,USD,seed,e-Merges.com
02/2000,2000000,GBP,seed,Cryptic Software
03/2000,1200000,USD,angel,Digital Envoy
03/2000,1000000,USD,seed,iMusica
03/2000,15000000,USD,a,AirClic
03/2000,1200000,USD,a,Cafepress
03/2000,1500000,USD,a,Pandora Media
03/2000,1100000,USD,b,Zappos
03/2000,17000000,USD,b,WildTangent
03/2000,1300000000,JPY,a,DeNA
04/2000,5300000,USD,a,Yandex
04/2000,100000000,USD,c,PayPal
04/2000,14000000,USD,b,GCT Semiconductor
04/2000,8750000,USD,b,Sentillion
04/2000,7500000,USD,unattributed,Spotcast Communications
04/2000,9000000,USD,b,SquareTrade
04/2000,1010000,USD,angel,Rotten Tomatoes
04/2000,42000000,USD,b,Blue Nile
05/2000,15000000,USD,angel,Savedaily
05/2000,5000000,USD,a,Nominum
05/2000,14000000,USD,a,NovImmune
05/2000,155000,USD,seed,Bandwave Systems 
05/2000,2000000,USD,angel,Masterseek
05/2000,7700000,USD,a,Action Engine
05/2000,36000000,USD,b,Snapfish
05/2000,1000000,USD,seed,Livra Panels
05/2000,28000000,USD,d,Answers Corporation
05/2000,35000000,USD,e,Cooking.com
06/2000,3000000,CAD,a,WANTED Technologies
06/2000,2000000,USD,angel,InfraSearch
06/2000,6000000,USD,a,Buscapé
06/2000,3000000,USD,a,eHarmony
06/2000,15000000,USD,a,WeatherBug
06/2000,100000,USD,seed,Vivisimo
06/2000,120000000,USD,b,Opsware
06/2000,20000000,USD,b,Navic Networks
07/2000,1325000,USD,a,YesVideo
07/2000,6116000,USD,b,YesVideo
07/2000,23000000,USD,c,SensAble Technologies
07/2000,6000000,EUR,a,404 Found!
07/2000,4200000,USD,a,Hitwise
07/2000,2000000,USD,angel,Vibrant Media
08/2000,30000000,USD,b,The FeedRoom
08/2000,14200000,USD,a,Sierra Monolithics
08/2000,35000000,USD,b,Epocrates
09/2000,11500000,USD,unattributed,Widevine Technologies
09/2000,1000000,USD,a,PerfectServe
09/2000,100000,USD,seed,eLibs.com
09/2000,5000000,USD,a,DivX
09/2000,50000000,USD,b,Elance
09/2000,30600000,USD,a,comScore
10/2000,26000000,USD,b,Aperto Networks
10/2000,6800000,USD,a,SideStep
10/2000,36000000,USD,c,OpenTable
10/2000,55000000,USD,c,Sylantro
10/2000,5000000,USD,a,Celframe
11/2000,19000000,USD,c,ACTIVE Network
11/2000,6000000,USD,a,Compete
12/2000,26000000,USD,b,Mintera
12/2000,900000,USD,angel,Actito
12/2000,5000000,GBP,seed,Aspects Software
12/2000,1000000,USD,a,Seamless
01/2001,72000000,USD,c,BlueArc
01/2001,5000000,USD,a,Sports Mogul
01/2001,5362120,USD,a,Motricity
01/2001,240000,USD,seed,Yozons
01/2001,105000,USD,seed,PicassoMio.com
01/2001,1000000,USD,a,LiveOps
01/2001,29000000,USD,a,SkyPilot Networks
01/2001,1800000,EUR,a,Clear2Pay
01/2001,21226600,USD,b,Wintegra
01/2001,10000000,USD,a,Endeca
01/2001,100000,USD,seed,Vivisimo
01/2001,20500000,USD,unattributed,Myrio
01/2001,7000000,EUR,b,Jobpartners
01/2001,4500000,USD,a,Cymbet
01/2001,125000,USD,seed,SMA Informatics
02/2001,5600000,USD,b,"Gomez, Inc. "
02/2001,90000000,USD,d,PayPal
02/2001,350000,USD,angel,SpamLion
02/2001,12100000,USD,a,INPHI
02/2001,1500000,GBP,a,AMT (Aircraft Management Technologies)
02/2001,20000000,USD,c,Navic Networks
03/2001,22900000,USD,unattributed,AtomShockwave
03/2001,100000,USD,a,ITI Tech
03/2001,22900000,USD,a,Atom Entertainment
03/2001,3000000,USD,a,Heavy
03/2001,570000000,JPY,b,DeNA
04/2001,100000,USD,grant,ITI Tech
04/2001,23735300,USD,a,BG Medicine
04/2001,20000000,USD,unattributed,Responsys
04/2001,34000000,USD,c,WildTangent
04/2001,63000000,USD,unattributed,Drugstore.com
05/2001,300000,USD,a,Cafepress
05/2001,7000000,USD,a,"Xora, Inc."
05/2001,2000000,USD,a,SwapDrive
05/2001,540000,USD,a,Ripple Technologies
05/2001,2430530,GBP,seed,KAL
06/2001,4500000,USD,a,SnapNames
06/2001,1000000,USD,debt_round,SnapNames
07/2001,1499900,USD,a,GlassHouse Technologies
07/2001,7000000,USD,c,Blue Nile
08/2001,15000000,USD,c,comScore
09/2001,18000000,USD,c,Sentillion
09/2001,8000000,USD,a,Athenix
10/2001,9300000,USD,b,"Gomez, Inc. "
10/2001,7000000,USD,c,YesVideo
10/2001,3000000,USD,c,Widevine Technologies
10/2001,6000000,USD,a,Nantero
10/2001,36000000,USD,b,Danger
10/2001,6792300,GBP,unattributed,Kiala
11/2001,3500000,USD,unattributed,"Gomez, Inc. "
11/2001,650000,USD,angel,MultiZona.com
11/2001,1800000,USD,angel,MySQL
11/2001,15000000,USD,b,Endeca
11/2001,338000000,JPY,b,DeNA
11/2001,1500000,GBP,seed,Essential Viewing 
12/2001,11200000,USD,d,ACTIVE Network
12/2001,12000000,USD,b,ForeScout Technologies
12/2001,15600000,GBP,a,RadioScape 
12/2001,3300000,USD,b,SnapNames
01/2002,5000000,USD,unattributed,"Gomez, Inc. "
01/2002,750000,CAD,seed,BrainMass
01/2002,6000000,USD,a,MarkLogic
01/2002,11472000,USD,b,Motricity
01/2002,4200000,USD,a,Blazent 
01/2002,3100000,USD,a,Approva
01/2002,150000,USD,seed,UmBio
01/2002,200000,USD,seed,Sports.ws
01/2002,250000,USD,angel,Skype
01/2002,700000,USD,angel,iLike
01/2002,900000,USD,angel,Boomi
01/2002,4200000,USD,a,Spoke
01/2002,5000000,USD,unattributed,IMT (Innovative Micro Technology)
01/2002,25000000,USD,a,Affinity.com
01/2002,7000000,USD,a,Teknovus
01/2002,25000,USD,seed,Tricycle
02/2002,1000000,USD,angel,Edusoft
02/2002,5000000,USD,seed,TRIRIGA
02/2002,8000000,USD,a,Xtellus
02/2002,9800000,USD,a,Location Labs
02/2002,11500000,USD,c,Passlogix
02/2002,4000000,EUR,a,EnOcean
02/2002,4000000,USD,a,Dobleas
04/2002,5500000,USD,a,Lancope
04/2002,13700000,USD,a,Plastic Logic
04/2002,9500000,USD,b,ArcSight
04/2002,11000000,USD,b,Sierra Monolithics
04/2002,6000000,EUR,b,Automsoft
04/2002,14000000,USD,a,170 Systems
05/2002,10000000,USD,b,Nominum
05/2002,275000,USD,seed,RefferedAgent.com
05/2002,10000000,USD,a,ID Analytics
05/2002,5000000,EUR,b,AMT (Aircraft Management Technologies)
05/2002,5000000,USD,b,Action Engine
05/2002,7500000,USD,c,Zappos
05/2002,2650000,USD,a,SwapDrive
05/2002,1000000,USD,seed,Sopogy
06/2002,6943370,USD,b,GlassHouse Technologies
06/2002,200000,GBP,grant,Brightblue
06/2002,6000000,USD,b,DivX
06/2002,20000000,USD,d,comScore
06/2002,16500000,USD,b,IronPort Systems
06/2002,250000,USD,b,Cosential
06/2002,2000000,USD,c,HomeSphere 
07/2002,500000,EUR,seed,Anxa
07/2002,500000,USD,seed,Vivisimo
07/2002,4200000,EUR,a,Image Metrics
08/2002,500000,USD,seed,The Solution Group
09/2002,8000000,USD,b,WideOrbit
09/2002,10000000,USD,a,Glaukos
09/2002,21500000,USD,b,CoreOptics
09/2002,5000000,USD,c,The FeedRoom
09/2002,25000,USD,seed,Arkadium
09/2002,4580000,USD,a,Technorati
09/2002,9500000,USD,c,Gracenote
09/2002,12000000,USD,c,Tealeaf
09/2002,8200000,USD,b,Viacor
09/2002,500000,USD,seed,Exajoule
10/2002,11000000,USD,unattributed,CollabNet
10/2002,100000,USD,seed,Mr. Youth
11/2002,38000000,USD,c,GCT Semiconductor
11/2002,3000000,USD,unattributed,Knovel
11/2002,3800000,USD,a,Plaxo
11/2002,2100000,USD,a,XAware
12/2002,22000000,USD,c,Aperto Networks
12/2002,300000,USD,post_ipo_equity,Nutrisystem
12/2002,6000000,USD,a,Gotuit
12/2002,2400000,USD,a,Friendster
12/2002,11250000,USD,a,Berkeley Design Automation
12/2002,9000000,USD,c,eEye
12/2002,200000000,USD,debt_round,XM Radio
12/2002,1000000,USD,a,Meetup
12/2002,4704370,USD,b,Zipcar
01/2003,47000000,USD,d,BlueArc
01/2003,12000000,USD,b,MarkLogic
01/2003,23000000,USD,a,SilkRoad technology
01/2003,1000000,GBP,a,Brightblue
01/2003,180000,USD,debt_round,MWI
01/2003,4600000,USD,a,Apieron
01/2003,210000000,JPY,a,Fixstars 
01/2003,6000000,EUR,b,Clear2Pay
01/2003,8800000,USD,a,AlterPoint
01/2003,12911500,USD,c,Wintegra
01/2003,500000,USD,angel,Travora Networks
01/2003,1600000,USD,a,Kiva Systems
01/2003,6000000,EUR,unattributed,idealista.com
01/2003,3750000,GBP,seed,CamSemi 
01/2003,350000,USD,seed,Dezide
01/2003,750000,USD,a,TurnTide
01/2003,1500000,USD,angel,Conducive Technology
01/2003,1000000,USD,seed,Search Solutions Ltd
01/2003,300000,USD,seed,THE NOCKLIST
01/2003,500000,USD,debt_round,Tricycle
01/2003,600000,USD,angel,Days of Wonder
01/2003,10000000,GBP,grant,Microtest Diagnostics
01/2003,67000,EUR,seed,Architonic
02/2003,41000000,USD,unattributed,Force10 Networks
02/2003,10000000,USD,c,Nominum
02/2003,5995980,USD,c,Everyday Health
02/2003,4000000,USD,b,"Xora, Inc."
02/2003,35000000,USD,d,Danger
02/2003,5000000,USD,d,CashEdge
02/2003,190000,USD,seed,Tyro Payments
03/2003,5000000,USD,b,Lancope
03/2003,9200000,USD,b,Blazent 
03/2003,7000000,USD,unattributed,Lumigent Technologies
03/2003,555000,USD,seed,Metreos Corporation
03/2003,1725000,USD,a,Everyday Health
03/2003,15500000,USD,c,Action Engine
03/2003,3000000,USD,unattributed,HealthMedia
04/2003,3500000,USD,a,Approva
04/2003,10000000,USD,b,Dilithium Networks
04/2003,3000000,USD,seed,FiberZone Networks
04/2003,600000,USD,a,Six Apart
04/2003,9400000,USD,unattributed,Responsys
04/2003,9200000,USD,b,Spoke
04/2003,4573810,USD,b,GameFly
04/2003,7500000,USD,a,FilesX
04/2003,500000,USD,seed,XE Corporation
04/2003,100000,USD,seed,Tyro Payments
05/2003,27000000,USD,c,Good Technology
05/2003,95000,USD,unattributed,CollabNet
05/2003,1344000,JPY,unattributed,Accumetrics
05/2003,4300000,USD,a,Nexaweb Technologies
05/2003,16000000,USD,a,Rosum
05/2003,6200000,USD,a,Astaro
05/2003,9500000,USD,a,Entone Technologies
05/2003,500000,USD,angel,Trigence
06/2003,250000,EUR,seed,Mosa Records
06/2003,155000,EUR,angel,WiTech
06/2003,250000,USD,seed,Sales Force Europe
06/2003,7800000,USD,a,Widevine Technologies
06/2003,250000,USD,seed,Emprivo
06/2003,440000,USD,seed,youcalc
06/2003,19500000,USD,b,MySQL
06/2003,4200000,USD,seed,Akimbo
06/2003,3200000,USD,a,FireTide
06/2003,5000000,USD,a,EndoGastric Solutions
07/2003,2000000,USD,unattributed,Mozilla
07/2003,4640000,USD,unattributed,YesVideo
07/2003,6000000,USD,b,Affinnova
07/2003,7000000,USD,a,Kryptiq
07/2003,8500000,USD,b,Plaxo
07/2003,1500000,USD,a,BitPass
07/2003,960000,USD,seed,Vivisimo
07/2003,4500000,USD,unattributed,Cloudmark
07/2003,1100000,USD,seed,Trigence
08/2003,1000000,USD,a,ezRez Software
08/2003,800000,USD,seed,Simple Star
08/2003,1000000,USD,a,Switchfly
09/2003,7110000,USD,c,GlassHouse Technologies
