YEAR,JPY,SEK,GBP,EUR,NIS,CAD,USD,USD_inflation,日元,瑞典克朗,英镑,欧元,以色列新谢克尔,加拿大元,美金
1993,109.93,8.17,0.67,,2.96,1.32,1,0.61,0.0635,0.8547,10.3907,,2.3554,5.2924,6.9808
1994,107.07,7.90,0.66,,2.96,1.32,1,0.63,0.0652,0.8837,10.6417,,2.3596,5.2924,6.9808
1995,92.45,6.99,0.63,,3.06,1.37,1,0.64,0.0904,1.1965,13.2732,,2.7345,6.0864,8.3577
1996,109.85,6.78,0.63,,3.19,1.36,1,0.66,0.0757,1.226,13.2363,,2.6093,6.12,8.316
1997,121.18,7.46,0.61,,3.41,1.39,1,0.68,0.0684,1.1113,13.6258,,2.4278,5.9719,8.2884
1998,130.36,7.95,0.60,0.87,3.94,1.49,1,0.69,0.0635,1.0409,13.7836,9.5374,2.0995,5.5509,8.2781
1999,112.65,8.16,0.62,0.92,4.11,1.49,1,0.7,0.0733,1.0121,13.3174,8.9485,2.0076,5.5556,8.2576
2000,107.93,9.35,0.66,1.09,4.09,1.50,1,0.73,0.0767,0.8851,12.5408,7.6132,2.0255,5.5325,8.2781
2001,122.69,10.16,0.70,1.12,4.14,1.55,1,0.75,0.0675,0.8151,11.8793,7.3992,2.002,5.349,8.2816
2002,125.29,9.72,0.67,1.06,4.70,1.56,1,0.76,0.0661,0.8522,12.4316,7.8217,1.763,5.3036,8.2816
2003,114.32,8.02,0.60,0.88,4.60,1.44,1,0.78,0.0725,1.0333,13.7476,9.4073,1.8,5.7703,8.2884
2004,108.38,7.18,0.54,0.79,4.47,1.29,1,0.8,0.0766,1.1561,15.2952,10.4954,1.8563,6.4454,8.3022
2005,11.15,7.44,0.55,0.80,4.51,1.21,1,0.82,0.733,1.0984,14.8368,10.2596,1.8136,6.7728,8.1766
2006,114.83,7.36,0.54,0.80,4.44,1.14,1,0.85,0.0692,1.0795,14.6735,9.981,1.7895,6.9979,7.946
2007,116.51,6.69,0.50,0.72,4.09,1.04,1,0.87,0.0649,1.131,15.083,10.513,1.8476,7.2622,7.5614
2008,102.17,7.30,0.60,0.73,3.70,1.14,1,0.91,0.0691,0.967,11.8161,9.6974,1.9055,6.1996,7.0597
2009,93.57,8.00,0.66,0.73,3.97,1.16,1,0.9,0.0731,0.8553,10.3928,9.38,1.7238,5.9084,6.8399
2010,86.91,7.26,0.64,0.75,3.73,1.02,1,0.92,0.0774,0.9264,10.4559,8.9606,1.8033,6.5963,6.7272
2011,80.69,6.54,0.63,0.73,3.62,1.01,1,0.95,0.0804,0.9916,10.3242,8.8849,1.7924,6.4475,6.4872
2012,81.07,6.85,0.63,0.78,3.87,1.00,1,0.97,0.0778,0.9202,9.982,8.058,1.6307,6.3131,6.3072
2013,95.85,6.52,0.64,0.75,3.63,1.03,1,0.98,0.0648,0.9523,9.7069,8.244,1.7125,6.0332,6.2112
2014,103.06,6.49,0.61,0.73,3.49,1.09,1,1,0.0592,0.9408,10.0543,8.3333,1.7464,5.6038,6.1013
